OrderID,OrderDate,Product,Category,Quantity,UnitPrice,Revenue,Discount,FinalPrice,Region,SalesChannel,check_Revenue,check_finalprice
1000,2022-04-13,Smartphone,Electronics,4,1426.32,5705.28,0.05,5420.02,North,Retail,5705.28,5420.016
1001,2022-07-08,Office Chair,Furniture,5,238.25,1191.25,0.0,1191.25,South,Online,1191.25,1191.25
1002,2022-11-27,Smartphone,Electronics,8,503.89,4031.12,0.0,4031.12,North,Retail,4031.12,4031.12
1003,2022-05-11,Laptop,Electronics,6,89.34,536.04,0.05,509.24,North,Online,536.04,509.23799999999994
1004,2022-10-21,Office Chair,Furniture,2,276.83,553.66,0.0,553.66,South,Online,553.66,553.66
1005,2022-11-10,Notebook,Stationery,6,15.56,93.36,0.0,93.36,South,Retail,93.36,93.36
1006,2022-02-28,Office Chair,Furniture,3,576.78,1730.34,0.2,1384.27,West,Retail,1730.34,1384.272
1007,2022-05-11,Laptop,Electronics,5,913.28,4566.4,0.0,4566.4,South,Retail,4566.4,4566.4
1008,2022-06-16,Monitor,Electronics,2,1423.58,2847.16,0.2,2277.73,East,Online,2847.16,2277.728
1009,2022-08-30,Office Chair,Furniture,9,28.87,259.83,0.0,259.83,East,Online,259.83,259.83
1010,2022-04-02,Smartphone,Electronics,7,916.95,6418.65,0.1,5776.78,West,Online,6418.650000000001,5776.785
1011,2022-02-04,Monitor,Electronics,1,391.88,391.88,0.05,372.29,East,Retail,391.88,372.286
1012,2022-01-02,Laptop,Electronics,6,315.87,1895.22,0.0,1895.22,West,Online,1895.22,1895.22
1013,2022-07-10,Keyboard,Electronics,2,1163.82,2327.64,0.1,2094.88,North,Retail,2327.64,2094.8759999999997
1014,2022-09-27,Pen,Stationery,8,857.81,6862.48,0.0,6862.48,East,Online,6862.48,6862.48
1015,2022-07-09,Smartphone,Electronics,8,1267.58,10140.64,0.05,9633.61,North,Online,10140.64,9633.607999999998
1016,2022-02-22,Desk,Furniture,8,538.35,4306.8,0.0,4306.8,North,Online,4306.8,4306.8
